ID_ESPACIO,ID_EDIFICIO,ID_UTC,ID_CENTRO,ID_CC,ID_SOROLLA,TIPO_DE_USO,LARGO,ANCHO,DIAGONAL,SUPERFICIE,ALTURA_MAXIMA,ALTURA_MEDIA,VOLUMEN,FALSO_TECHO,NMRO_VENTANAS,PERSIANAS_EXT,ORIENTACION_PRAL,ILUMINACION_ART,NMRO_PUNTOS_LUZ,NMRO_PUNTOS_AGUA,NMRO_PUNTOS_GAS,VITRINAS_RIESGO_BIOLOGICO,VITRINAS_RIESGO_QUIMICO,NMRO_VITRINAS_RB,NMRO_VITRINAS_RQ,PTOS_EXTRACCION_LOCALIZADA,NMRO_PTOS_EXT_LOCALIZ,TIPO_CALEFACCION,TIPO_CLIMATIZACION,ROSETAS_VOZ,ROSETAS_DATOS,CAÑON_FIJO,PANTALLA_PROYECTOR,EQUIPO_DE_SONIDO,TV,VIDEO,DVD,FOTOCOPIADORAS,IMPRESORAS,ORDENADORES,FAXES,TELEFONOS,PIZARRA,NMRO_PLAZAS,CAD_ASOCIADO,OBSERVACIONES,EXTINTORES_DE_POLVO,EXTINTORES_DE_CO2,NMRO_EXTINTORES_POLVO,NMRO_EXTINTORES_CO2,BIES,NMRO_BIES,TIPO_BIES,COLUMNA_SECA,GRUPO_DE_PRESION_INCENDIOS,DETECCION_DE_INCENDIOS,PROTECCION_POR_ROCIADORES,ILUMINACION_DE_EMERGENCIA,POTENCIA_ELECTRICA_INSTALADAW,RESERVABLE
"CRE.1065.00.020","CRE.1065.","00.020","PASILLO",,0,31,0.00000000,0.00000000,0.00000000,1044.20000000,2.890,2.890,3017.73800000,1,0,1,2,6,143,0,0,0,0,0,0,0,0,1,3,,,0,0,0,0,0,0,0,0,0,0,0,3,0,,,1,0,8,0,1,6,2,0,0,1,0,1,0,0
"CRE.1065.00.030","CRE.1065.","00.030","CONSERGERIA",,0,14,0.00000000,0.00000000,0.00000000,33.38000000,2.890,2.890,96.46800000,1,6,1,2,6,4,0,0,0,0,0,0,0,0,1,4,,,0,0,0,0,0,0,0,1,4,0,2,3,4,,,0,0,0,0,0,0,2,0,0,1,0,1,0,0
"CRE.1065.00.040","CRE.1065.","00.040","CONSERGERIA",,0,14,0.00000000,0.00000000,0.00000000,21.78000000,2.890,2.890,62.94400000,1,4,1,2,6,4,0,0,0,0,0,0,0,0,1,3,,,0,0,0,0,0,0,0,0,0,1,0,3,1,,,0,0,0,0,0,0,2,0,0,1,0,1,0,0
"CRE.1065.00.050","CRE.1065.","00.050","ALMACEN REPROGRAFIA",,1091,33,0.00000000,0.00000000,0.00000000,44.24000000,2.500,2.500,110.60000000,1,8,3,7,5,6,0,0,0,0,0,0,0,0,1,3,,,0,0,0,0,0,0,0,2,2,0,1,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1065.00.060","CRE.1065.","00.060","REPROGRAFIA",,0,33,0.00000000,0.00000000,0.00000000,33.00000000,2.600,2.600,85.80000000,1,6,3,7,5,6,0,0,0,0,0,0,0,0,1,3,,,0,0,0,0,0,0,3,0,0,0,1,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1065.00.080","CRE.1065.","00.080","SALA LECTURA",,1088,38,0.00000000,0.00000000,0.00000000,130.00000000,2.500,2.500,325.00000000,1,25,3,7,5,20,0,0,0,0,0,0,0,0,6,5,,,0,0,0,0,0,0,0,0,0,0,0,1,156,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"CRE.1065.00.084","CRE.1065.","00.084","DESPACHOS CB1 0 1",,5444,17,0.00000000,0.00000000,0.00000000,44.48000000,2.540,2.540,112.97900000,1,5,3,5,5,6,0,0,0,0,0,0,0,0,6,1,,,0,0,0,0,0,0,1,0,1,0,1,1,1,,"119 120 121",0,0,0,0,0,0,2,0,0,1,0,0,0,0
"CRE.1065.00.088","CRE.1065.","00.088","DESPACHOS CB1 0 2",,5445,17,0.00000000,0.00000000,0.00000000,21.00000000,2.540,2.540,53.34000000,1,3,3,6,5,6,0,0,0,0,0,0,0,0,6,1,,,0,0,0,0,0,0,0,0,3,0,1,1,1,,"123 124 125 126",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CRE.1065.00.090","CRE.1065.","00.090","DESPACHOS CB1 0 3",,5446,17,0.00000000,0.00000000,0.00000000,21.75000000,2.540,2.540,55.24500000,1,3,3,6,5,6,0,0,0,0,0,0,0,0,6,1,,,0,0,0,0,0,0,0,2,3,0,2,1,2,,"127 128 129 130",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CRE.1065.00.092","CRE.1065.","00.092","DESPACHOS CB1 0 4",,5447,17,0.00000000,0.00000000,0.00000000,21.75000000,2.540,2.540,55.24500000,1,3,3,6,5,6,0,0,0,0,0,0,0,0,6,1,,,0,0,0,0,0,0,0,2,2,0,2,1,2,,"131 132 133 134",0,0,0,0,0,0,2,0,0,1,0,0,0,0
